,Timestamp,Longitude,Latitude,Speed,Operatorname,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate
8409,2019.11.28_08.26.48,-8.483130000000001,51.899221,0,B,11,5G,-90,-17,-8.0,8,-69,0,0
8410,2019.11.28_08.26.50,-8.483130000000001,51.899221,0,B,11,5G,-90,-17,-8.0,8,-69,0,0
8411,2019.11.28_08.26.51,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,-7.0,6,-73,0,0
8412,2019.11.28_08.26.52,-8.483130000000001,51.899221,0,B,11,5G,-90,-18,-7.0,7,-69,0,0
8413,2019.11.28_08.26.53,-8.483130000000001,51.899221,0,B,11,5G,-89,-12,2.0,7,-69,0,0
8414,2019.11.28_08.26.54,-8.483130000000001,51.899221,0,B,11,5G,-89,-12,2.0,7,-69,0,0
8415,2019.11.28_08.26.55,-8.483130000000001,51.899221,0,B,11,5G,-91,-16,-5.0,7,-69,0,0
8416,2019.11.28_08.26.56,-8.483130000000001,51.899221,0,B,11,5G,-91,-16,-5.0,7,-69,2,4
8417,2019.11.28_08.26.57,-8.483130000000001,51.899221,0,B,11,5G,-89,-17,-9.0,7,-69,6,4
8418,2019.11.28_08.26.58,-8.483130000000001,51.899221,0,B,11,5G,-89,-17,-9.0,9,-73,2,4
8419,2019.11.28_08.26.59,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,1.0,9,-73,14875,117
8420,2019.11.28_08.27.00,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,1.0,6,-68,2,4
8421,2019.11.28_08.27.01,-8.483130000000001,51.899221,0,B,11,5G,-89,-13,-2.0,6,-68,0,0
8422,2019.11.28_08.27.02,-8.483130000000001,51.899221,0,B,11,5G,-89,-13,-2.0,8,-70,0,0
8423,2019.11.28_08.27.04,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,-1.0,8,-70,0,0
8424,2019.11.28_08.27.05,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,-1.0,10,-68,0,0
8425,2019.11.28_08.27.06,-8.483130000000001,51.899221,0,B,11,5G,-89,-17,1.0,10,-68,0,0
8426,2019.11.28_08.27.07,-8.483130000000001,51.899221,0,B,11,5G,-89,-17,1.0,10,-68,0,0
8427,2019.11.28_08.27.08,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,2.0,10,-68,0,0
8428,2019.11.28_08.27.09,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,2.0,10,-68,0,0
8429,2019.11.28_08.27.10,-8.483130000000001,51.899221,0,B,11,5G,-89,-13,-2.0,10,-68,0,0
8430,2019.11.28_08.27.11,-8.483130000000001,51.899221,0,B,11,5G,-89,-13,-2.0,8,-73,0,0
8431,2019.11.28_08.27.12,-8.483130000000001,51.899221,0,B,11,5G,-89,-12,6.0,8,-73,0,0
8432,2019.11.28_08.27.13,-8.483130000000001,51.899221,0,B,11,5G,-89,-12,6.0,8,-69,17,27
8433,2019.11.28_08.27.14,-8.483130000000001,51.899221,0,B,11,5G,-89,-12,3.0,8,-69,3,0
8434,2019.11.28_08.27.15,-8.483130000000001,51.899221,0,B,11,5G,-89,-12,3.0,8,-69,1,3
8435,2019.11.28_08.27.17,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,0.0,8,-69,0,0
8436,2019.11.28_08.27.18,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,0.0,8,-69,3,4
8437,2019.11.28_08.27.19,-8.483130000000001,51.899221,0,B,11,5G,-89,-15,-7.0,8,-69,0,0
8438,2019.11.28_08.27.20,-8.483130000000001,51.899221,0,B,11,5G,-89,-15,-7.0,10,-71,2,4
8439,2019.11.28_08.27.21,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,2.0,7,-69,0,0
8440,2019.11.28_08.27.22,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,2.0,7,-69,2,4
8441,2019.11.28_08.27.23,-8.483130000000001,51.899221,0,B,11,5G,-89,-16,-8.0,7,-69,0,0
8442,2019.11.28_08.27.24,-8.483130000000001,51.899221,0,B,11,5G,-89,-16,-8.0,7,-69,0,0
8443,2019.11.28_08.27.25,-8.483130000000001,51.899221,0,B,11,5G,-89,-16,-7.0,7,-69,0,0
8444,2019.11.28_08.27.26,-8.483130000000001,51.899221,0,B,11,5G,-89,-16,-7.0,7,-69,0,0
8445,2019.11.28_08.27.27,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,1.0,7,-69,16,44
8446,2019.11.28_08.27.28,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,1.0,7,-69,0,0
8447,2019.11.28_08.27.29,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,2.0,7,-69,0,0
8448,2019.11.28_08.27.31,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,2.0,7,-69,0,0
8449,2019.11.28_08.27.32,-8.483130000000001,51.899221,0,B,11,5G,-90,-15,1.0,7,-69,0,0
8450,2019.11.28_08.27.33,-8.483130000000001,51.899221,0,B,11,5G,-90,-15,1.0,7,-69,0,0
8451,2019.11.28_08.27.34,-8.483130000000001,51.899221,0,B,11,5G,-91,-13,0.0,7,-69,0,0
8452,2019.11.28_08.27.35,-8.483130000000001,51.899221,0,B,11,5G,-91,-13,0.0,7,-69,0,0
8453,2019.11.28_08.27.36,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,-2.0,7,-69,0,0
8454,2019.11.28_08.27.37,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,-2.0,7,-69,0,0
8455,2019.11.28_08.27.38,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,-3.0,7,-69,2,4
8456,2019.11.28_08.27.39,-8.483130000000001,51.899221,0,B,11,5G,-90,-13,-3.0,5,-73,0,0
8457,2019.11.28_08.27.40,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,-3.0,8,-71,2,4
8458,2019.11.28_08.27.41,-8.483130000000001,51.899221,0,B,11,5G,-90,-12,-3.0,8,-71,0,0
8459,2019.11.28_08.27.42,-8.483130000000001,51.899221,0,B,11,5G,-91,-12,-6.0,11,-69,2,4
8460,2019.11.28_08.27.43,-8.483130000000001,51.899221,0,B,11,5G,-91,-12,-6.0,7,-73,0,0
8461,2019.11.28_08.27.45,-8.483130000000001,51.899221,0,B,11,5G,-90,-15,0.0,7,-69,6968,36
8462,2019.11.28_08.27.46,-8.483130000000001,51.899221,0,B,11,5G,-90,-15,0.0,7,-69,3582,33
8463,2019.11.28_08.27.47,-8.483130000000001,51.899221,0,B,11,5G,-89,-19,-9.0,7,-69,15632,132
8464,2019.11.28_08.27.48,-8.483130000000001,51.899221,0,B,11,5G,-89,-19,-9.0,7,-69,0,0
8465,2019.11.28_08.27.49,-8.483130000000001,51.899221,0,B,11,5G,-88,-17,-7.0,7,-69,0,0
8466,2019.11.28_08.27.50,-8.483130000000001,51.899221,0,B,11,5G,-88,-17,-7.0,7,-69,0,0
8467,2019.11.28_08.27.51,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,-2.0,7,-69,0,0
8468,2019.11.28_08.27.52,-8.483130000000001,51.899221,0,B,11,5G,-90,-14,-2.0,6,-74,0,0
8469,2019.11.28_08.27.53,-8.483130000000001,51.899221,0,B,11,5G,-91,-14,0.0,9,-69,0,0
8470,2019.11.28_08.27.54,-8.483130000000001,51.899221,0,B,11,5G,-91,-14,0.0,9,-69,0,0
8471,2019.11.28_08.27.55,-8.483130000000001,51.899221,0,B,11,5G,-91,-14,-3.0,9,-67,0,0
8472,2019.11.28_08.27.56,-8.483130000000001,51.899221,0,B,11,5G,-91,-14,-3.0,9,-67,0,0
8473,2019.11.28_08.27.57,-8.483130000000001,51.899221,0,B,11,5G,-88,-15,-5.0,7,-73,0,0
8474,2019.11.28_08.27.59,-8.483130000000001,51.899221,0,B,11,5G,-88,-15,-5.0,7,-73,0,0
8475,2019.11.28_08.28.00,-8.483130000000001,51.899221,0,B,11,5G,-91,-12,-3.0,6,-67,2,4
